"","","2019","2019","2019","2015","2015","2015","2010","2010","2010","2005","2005","2005","2000","2000","2000"
"Indicator","Age Group"," Both sexes"," Male"," Female"," Both sexes"," Male"," Female"," Both sexes"," Male"," Female"," Both sexes"," Male"," Female"," Both sexes"," Male"," Female"
"Tx - person-years lived above age x"," 20-24 years","6180311.301","5880796.435","6484430.969","6050913.582","5820898.528","6279501.538","6026101.621","5787862.234","6262079.014","5930106.419","5668610.939","6180941.499","5821554.652","5517655.656","6102439.963"
"Tx - person-years lived above age x"," 25-29 years","5683438.721","5384418.378","5987024.72","5554287.073","5324720.143","5782397.852","5529754.655","5292124.275","5765092.718","5434344.339","5173682.773","5684309.063","5326698.317","5023948.412","5606380.493"
"Tx - person-years lived above age x"," 30-34 years","5187361.784","4889129.764","5490092.809","5058558.962","4829785.412","5285824.277","5034419.756","4797805.047","5268697.709","4939696.939","4680378.604","5188269.942","4833319.854","4532380.885","5111108.051"
"Tx - person-years lived above age x"," 35-39 years","4692331.196","4395196.185","4993873.163","4563987.408","4336407.525","4789987.046","4540295.83","4305165.148","4773034.651","4446335.841","4188867.517","4692994.498","4341525.74","4043004.69","4616780.765"
"Tx - person-years lived above age x"," 40-44 years","4198841.896","3903237.202","4498737.561","4071004.673","3845121.764","4295220.559","4047802.988","3814693.834","4278448.82","3954745.167","3699683.381","4198905.464","3851927.555","3556525.388","4123906.938"
"Tx - person-years lived above age x"," 45-49 years","3707665.635","3414249.412","4005236.094","3580405.739","3356911.657","3802127.654","3557845.45","3327462.006","3785662.218","3466076.478","3214252.77","3706860.572","3365939.878","3074746.257","3633489.16"
"Tx - person-years lived above age x"," 50-54 years","3220192.119","2929931.584","3514445.456","3093736.754","2873690.077","3311869.116","3072183.978","2845659.179","3295980.648","2982517.993","2735379.85","3218399.385","2885843.302","2600634.145","3147102.043"
"Tx - person-years lived above age x"," 55-59 years","2738894.855","2453443.559","3028129.975","2613739.374","2398927.333","2826421.289","2593952.174","2373338.089","2811575.139","2507278.875","2267311.93","2735670.36","2414673.557","2138055.468","2666893.471"
"Tx - person-years lived above age x"," 60-64 years","2267926.707","1990148.886","2549196.186","2144847.295","1938419.413","2348803.525","2127482.21","1916318.689","2335274.988","2044471.537","1815380.109","2261496.658","1956830.426","1692824.585","2195739.505"
"Tx - person-years lived above age x"," 65-69 years","1813845.361","1548416.328","2082383.478","1693282.889","1500308.949","1883326.384","1678275.862","1481629.629","1870985.957","1599745.311","1386857.644","1799799.179","1518560.92","1273354.007","1737669.058"
"Tx - person-years lived above age x"," 70-74 years","1384869.988","1138591.753","1633875.642","1266674.807","1093881.829","1435911.417","1253770.742","1078494.394","1424261.91","1180841.912","991799.5285","1356044.629","1109587.215","892104.9984","1299719.118"
"Tx - person-years lived above age x"," 75-79 years","991286.5543","772220.0821","1212685.145","875106.2785","730715.2254","1015115.237","864050.3259","718972.3911","1003373.226","799888.5824","644527.38","940451.7876","743563.1393","564965.5057","894200.1781"
"Tx - person-years lived above age x"," 80-84 years","645756.8111","462748.0362","830681.0461","532618.1146","425507.7386","634683.1524","525853.6816","420267.0497","625133.6247","474723.9226","363345.3145","571617.5502","436847.3512","308010.4818","540736.7618"
"Tx - person-years lived above age x"," 85+ years","367812.0355","227341.3646","510057.4501","261622.64","197867.8949","320567.8185","262525.4653","202151.3384","317722.0955","226317.4517","164692.2651","277585.4403","207350.4213","133056.6605","264655.3866"
"ex - expectation of life at age x"," &lt;1 year","81.72251685","78.72021111","84.7712864","80.42173433","78.11603813","82.7134648","80.16793604","77.77687779","82.53684017","79.19478487","76.56754116","81.71607453","78.09462105","75.04047656","80.91944377"
